name;address;phone;site;email
Salvadori Vicenza;Contrà Porti 2 36100 Vicenza VI Italy;+390444546313;salvadoridiamondatelier.com;
D. & D. Time S.r.l.;Via Ludovico Lazzaro Zamenhof 421 36100 Vicenza VI Italy;+390444913375;;
Zonin Ezio & C . s.n.c.;Via L. da Vinci 34 36030 Costabissara VI Italy;+390444557493;;
Orafo AG2009 Vicenza;Via Postale Vecchia 120 36070 Trissino VI Italy;+390445960063;ag2009.it;
Ilo Srl;Via Brescia 21 36040 Torri di Quartesolo VI Italy;+390444267404;midas.it;
Effebi S.A.S. Di Fioravanzo Enrico & C.;Via Silvio Pellico 39 36030 Caldogno-rettorgole-cresole VI Italy;+390444986186;;
Claudio Faccin Srl;Via Roma 100 36040 Torri di Quartesolo VI Italy;+390444580384;;
Italian Stile S.r.l.;Via dell' Artigianato 13 36043 Camisano Vicentino VI Italy;+390444410523;italianstile.it;mail@italianstile.net
Swarovski;Via Pola 20 36040 Torri di Quartesolo VI Italy;;swarovski.com;
Vicenzaoro;Via Oreficeria 16 36100 Vicenza VI Italy;+390444969111;vicenzaoro.com;
Bettinardi Srl;Viale dell'Artigianato 40 36023 Longare VI Italy;+390444953296;bettinardiwatch.com;info@bettinardiwatch.com, sales@yourcompany.com
Casarotto Roberto S.n.c.;Via Monte Grappa 7 36050 Quinto vicentino VI Italy;+390444356620;robertocasarotto.it;info@robertocasarotto.it
stefano gold sas;Via Gandhi 7 36043 Camisano Vicentino VI Italy;+393291877189;;
Micro.Gi Casting Srl;Via Cittadella 19 36031 Dueville VI Italy;+390444361189;microgi.it;
Iacovone Gioielli Srl;Via Vecchia Ferriera 50 36100 Vicenza VI Italy;+390444566187;iacovonegioielli.com;info@iacovonegioielli.com
NOVA ASSO Arte 1995;Contrà Santa Caterina 62/B 36100 Vicenza VI Italy;+393486781525;geometraveneto.blogspot.com;
PANDORA;Via Pola 20 36040 Torri di Quartesolo VI Italy;+390444267121;it.pandora.net;info@pandora.net
VENEROSO S.R.L.;Via Prati 11 36031 Dueville VI Italy;+390444360913;venerosogioielli.it;info@venerosogioielli.it
Alan S.r.l.;Via Saviabona 1048 36010 Monticello Conte Otto VI Italy;+390444946711;;
Speggiorin Silvano S.r.l.;Via Astico 9 36010 Monticello Conte Otto VI Italy;+390444595194;speggiorinsilvanosrl.it;info@speggiorinsilvanosrl.com
Plata Viva srl;;+390444654952;plataviva.com;
Auro Di Grolla Vittorino;Via Treviso 16 36010 Monticello Conte Otto VI Italy;+390444945113;;
Plata Viva srl;;+390444654952;plataviva.com;
Auro Di Grolla Vittorino;Via Treviso 16 36010 Monticello Conte Otto VI Italy;+390444945113;;
Arly snc Di Galante Arturo & C.;Via del Progresso 23 36010 Monticello Conte Otto VI Italy;+390444595525;arly-oreficeria.it;
Arcadia Line snc;Via del Progresso 46 36030 Monticello Conte Otto VI Italy;+390444946730;;
Italbras Spa;Str. del Balsego 6 36100 Vicenza VI Italy;+390444347500;italbras.it;italbras@italbras.it, italbrasspa@pec.it, aldo.bellinaso@italbras.it
T.M.C. Di Antonio Mancino;Via Saviabona 1048 36010 Monticello Conte Otto VI Italy;+390444946778;;
Il Tutt'oro;Centro Commerciale le Piramidi Via Pola 20 36040 Torri di Quartesolo VI Italy;+390444267105;centrolepiramidi.it;info@centrolepiramidi.it
Oreficeria Rizzo Design;Corso G. Matteotti 13 36075 Montecchio Maggiore-Alte Ceccato VI Italy;+393202591966;oreficeriarizzodesign.com;
Quadri Gioielli s.r.l.;dell'Industria 2 36010 Cavazzale VI Italy;+390444945735;quadrigioielli.com;info@quadrigioielli.com, info@quadrisrl.it, info@agrizoosrl.com
M.b.i. srl;Via Claudio Monteverdi 2 36100 Vicenza VI Italy;+390444560820;;
Matteo Gold;Via Sarson 73 36061 Bassano del Grappa VI Italy;+390424504381;matteogold.com;info@matteogold.com
I Fanton S.r.l.;Via Treviso 29 36010 Monticello Conte Otto VI Italy;+390444946510;ifanton.com;info@ifanton.it
Fossil Italia S.r.l.;Via Vecchia Ferriera 4 36100 Vicenza VI Italy;+390444955955;fossil.it;atendimento@fossil.com
SINICO SNC DI SINICO WALTER & C.;Via Piersanti Mattarella 16 36043 Camisano Vicentino VI Italy;+390444610850;sinico.it;
Grand Soleil S.N.C.;Via Saviabona 10611 36010 Monticello Conte Otto VI Italy;+390444946656;grandsoleil.myshopify.com;snc@libero.it
Gori Annalisa;Via Roma 34 36050 Sovizzo VI Italy;+390444551995;;
Maxioro S.N.C. Di Zulian Alessandro & C.;Via Chiuppese 10 36031 Chiupese VI Italy;+390444946226;maxioro.it;info@maxioro.it
Museum of Jewelry;Basilica Palladiana Piazza dei Signori 44 36100 Vicenza VI Italy;+390444320799;museodelgioiello.it;info@museodelgioiello.it
Gerard S.r.l.;Via Cittadella 23 36031 Dueville VI Italy;+390444360610;;
Argenti Preziosi Di A. Nassi;Via del Progresso 25 36010 Monticello Conte Otto VI Italy;+390444945049;;
Alice Jewels s.r.l.s.;Via del Progresso 23 36010 Cavazzale VI Italy;+390444751337;santoma.it;info@alicegioiellisrl.com
Oro E Cash Di Centomo Cristina;Piazza Marconi Guglielmo 16 36075 Montecchio Maggiore-Alte Ceccato VI Italy;+390444492325;;
Auro Di Grolla Vittorino;Via Chiuppese 9 36031 Chiupese VI Italy;+390444946965;;
Microvax S.n.c.;Via Chiuppese 31 36031 Dueville VI Italy;+390444597535;microvax.it;info@microvax.it0444, info@microvax.itp, info@microvax.it
Luca S.A.S. Di Sandini Sabrina & C.;Viale della Repubblica 10 36066 Sandrigo VI Italy;+390444750969;;
Marco Bicego Spa;Viale dell' Industria 33 36070 Trissino VI Italy;+390445491400;marcobicego.com;eu@marcobicego.com, customerservice.eu@marcobicego.com
M.A.M. S.r.l.;Via Diviglio 243 36030 Caldogno VI Italy;+390444986974;;
Compro Oro Isola Oro Migliore;Via Arasella 12 36033 Isola Vicentina VI Italy;+393664870004;comprooromigliore.it;
ORO FRANCO;Via dell'Artigianato 13 36050 Bolzano Vicentino VI Italy;+390444350920;francofranco.it;
La Tre Oro Srl;Via Benvenuto Cellini 16 36043 Camisano Vicentino VI Italy;+390444719515;latreoro.simplesite.com;<e-mail@my-domain.com>
Salin 1953;Via Chiesa Nuova 10 36023 Longare VI Italy;+390444555096;salin1953.com;italyinfo@salin.it, italyinfo@salin.it, info@salin.it, 555096info@salin.it, italyinfo@salin.it, italyinfo@salin.it, italyinfo@salin.it, italyinfo@salin.it, italyinfo@salin.it, italyinfo@salin.it
Santomà;Via del Progresso 23 36010 Monticello Conte Otto VI Italy;;santoma.it;info@alicegioiellisrl.com
BLS S.p.A. - Banco metalli Preziosi;Via Industriale 36 36043 Camisano Vicentino VI Italy;+390444410830;berica.com;info@berica.com
Lady Love Gioielli Showroom;Via Piazzola 17 36043 Camisano Vicentino VI Italy;+393272414139;ladylovegioielli.com;info@ladylovegioielli.com,  info@ladylovegioielli.com
Daniela Coaro S.a.s.;Viale dell' Industria 7 36070 Trissino VI Italy;+390445962296;coaro.it;danielacoaro@coaro.com
Rancangelo Industrie;Viale dell' Industria 2 36070 Trissino VI Italy;+390445962061;rancangelo.com;info@rancangelo.com
Gabor Srl;Via della Tecnica 21 36031 Dueville VI Italy;+390444360667;memua-jewels.com;
Lorenzato S.r.l.;Via Sette 52 36030 Caldogno VI Italy;+390444905365;lorenzato.com;905368info@lorenzato.com, info@lorenzato.com, info@lorenzato.comcurriculum, candidature@lorenzato.com, info@lorenzato.comcurriculum
Colpo & Zilio S.p.a.;Via Gorizia 21 36040 Torri di Quartesolo VI Italy;+390444380160;colpoezilio.com;information@colpo-zilio.com
Ranzan Romeo Srl;Via Parmesana 104 36010 Monticello Conte Otto VI Italy;+390444945622;romeoranzan.com;
Elle Tre (S.R.L.);1 Via Rovereto Costabissara Vi 36030 36030 Costabissara VI Italy;+390444971477;;
Oreficeria Cora S.R.L.;Via Oltre Agno di Sotto 61/63 36070 Trissino VI Italy;+390445962151;oreficeriacora.it;info@oreficeriacora.it
THUN;Strada Padana verso Padova CC PALLADIO 60 36100 Vicenza VI Italy;+390444911696;thun.com;
Omega;Piazza dei Signori 54 36100 Vicenza VI Italy;;omegawatches.com;cidadejardim@br.swatchgroup, omega.cidadejardim@br.swatchgroup.com
Gi.pi. S.r.l.;Via G. Zanella 34 36030 Villaverla VI Italy;+390444909091;;
Nanis;Via del Lavoro 33 36070 Trissino VI Italy;+390445490444;nanis.it;nanisitalian@legalmail.it, nanis@nanis.it, america@nanis.it, nanis@nanis.jp
Torri Spa;Via Roma 15 36040 Torri di Quartesolo VI Italy;+390444265800;torri.it;
Maria De Toni s.r.l.;Viale M. Pasubio 1 36066 Sandrigo VI Italy;+390444751347;mariadetoni.com;info@mariadetoni.it
Vieri S.p.a.;Via Monte Asolon 67 36022 San Zeno VI Italy;+3904243899;vieri.it;info@vieri.it, sales@vieri.it, amministrazione@vieri.it, info@info@vieri.it, sales@info@vieri.it
Bassano Collection Group;Largo Parolini 108 36061 Bassano del Grappa VI Italy;+390424524784;bassanocollection.com;
MARCO BICEGO Spa;Viale dell' Industria 33 36070 Trissino VI Italy;+390445491400;marcobicego.com;eu@marcobicego.com, customerservice.eu@marcobicego.com
Buzio Snc Di Buzio Massimiliano & C.;Via Giambattista Tiepolo 61 36043 Rampazzo di Camisano Vicentino VI Italy;+390444411632;buzio.it;
Venetie srl;Via Monte Pertica 13/a 36060 Romano D'ezzelino VI Italy;+390424513170;venetiejewelry.com;info@venetiejewelry.com
LEGOR GROUP S.p.A.;Via del Lavoro 1 36050 Bressanvido VI Italy;+390444467911;legor.com;
Laboratorio Orafo Bazzolo Andrea;Via Marconi 28 35030 Rubano PD Italy;;;
Vimor Srl;Via Belfiore 23 36015 Schio VI Italy;+390445540188;vimorsrl.it;
breezy;SP24 6 Via degli Alpini 35014 Fontaniva PD Italy;+393896387562;breezy.it;srl@hotmail.com
Metaltech - The Power of Results;G Via Saviabona 113 36010 Monticello Conte Otto VI Italy;+390444597374;metaltech.net;info@metaltech.net, metaltechsrl@lamiapec.it
ASOLO GOLD S.p.A.;Via delle Industrie 9 31020 San Zenone degli Ezzelini TV Italy;+390423968988;asologold.com;
Scanavin (S.R.L.);Via Roma 23 36066 Sandrigo VI Italy;+390444658665;scanavin.com;info@scanavin.com, %69%6e%66%6f@%62%65-%79%6f%75%6e%67.%69%74, %69%6e%66%6f@%73%63%61%6e%61%76%69%6e.%63%6f%6d
Scanavin (S.R.L.);Via Roma 23 36066 Sandrigo VI Italy;+390444658665;scanavin.com;info@scanavin.com, %69%6e%66%6f@%62%65-%79%6f%75%6e%67.%69%74, %69%6e%66%6f@%73%63%61%6e%61%76%69%6e.%63%6f%6d
Chiampesan Fratelli S.R.L.;Via Luigi Galvani 2 36066 Sandrigo VI Italy;+390444659476;chiampesanfabris.it;info@chiampesanfabris.it, info@chiampesanfabris.it, info@chiampesanfabris.it, info@chiampesanfabris.it, info@chiampesanfabris.it
Enotecnica Pillan srl;Via Chiesa Rampazzo 6 36043 Camisano Vicentino VI Italy;+390444719004;enotecnicapillan.it;info@enotecnicapillan.it
Oreficeria-Argenteria Noventa Giorgio;Via Tadi 27 35139 Padova PD Italy;+393389708018;;
